id,-2,,-1,0,1,,max,,区间,含义,
1,0.019540604,,0.010575254,0.36941475,0.60046947,,0.60046947,,20,小于或等于20,21834
2,0.004014247,,3.75E-05,0.000961358,0.9949869,,0.9949869,,40,大于20小于等于40,0
3,0.000264926,,0.5706704,0.42237598,0.006688629,,0.5706704,,70,大于40小于等于70,0
4,0.006518778,,4.27E-05,0.000809653,0.99262893,,0.99262893,,80,大于70,0
5,0.00203626,,0.000304476,0.030093065,0.96756613,,0.96756613,,,,
6,0.45765567,,0.000238509,0.034154814,0.507951,,0.507951,,,,
7,0.81508875,,0.008608407,0.056493275,0.11980959,,0.11980959,,,,
8,0.21682452,,0.5032511,0.26546115,0.014463245,,0.5032511,,,,
9,0.002040295,,5.74E-05,0.002253024,0.9956493,,0.9956493,,,,
10,0.019539017,,7.10E-05,0.002695269,0.97769475,,0.97769475,,,,
11,0.000609187,,0.9850749,0.013742114,0.000573746,,0.9850749,,,,
12,0.96373403,,0.000336299,0.008716992,0.027212728,,0.027212728,,,,
13,0.18941492,,0.000545154,0.042704232,0.76733565,,0.76733565,,,,
14,0.98444253,,0.000388436,0.006986667,0.008182399,,0.008182399,,,,
15,0.97181153,,0.000266361,0.008997547,0.018924566,,0.018924566,,,,
16,0.99056435,,0.000262068,0.005112547,0.004061137,,0.005112547,,,,
17,0.003258621,,0.979498,0.016445069,0.000798313,,0.979498,,,,
18,0.002160164,,4.08E-05,0.00096161,0.9968374,,0.9968374,,,,
19,0.013363188,,0.96740514,0.016633565,0.002598211,,0.96740514,,,,
20,0.9451762,,0.000362563,0.010241484,0.04421973,,0.04421973,,,,
21,0.73601,,0.002434698,0.035413906,0.2261414,,0.2261414,,,,
22,0.9572249,,0.022378946,0.008565441,0.011830733,,0.022378946,,,,
23,0.002170579,,0.002065432,0.12068969,0.87507427,,0.87507427,,,,
24,0.98770136,,0.000831062,0.007668168,0.003799378,,0.007668168,,,,
25,0.003035022,,7.03E-05,0.003279805,0.9936149,,0.9936149,,,,
26,0.9898509,,0.000566504,0.006368579,0.003213977,,0.006368579,,,,
27,0.004838912,,4.39E-05,0.002801304,0.99231577,,0.99231577,,,,
28,0.001522698,,4.51E-05,0.000888663,0.9975435,,0.9975435,,,,
29,0.001339729,,5.40E-05,0.001729264,0.99687696,,0.99687696,,,,
30,0.98832047,,0.000414817,0.0059734,0.005291293,,0.0059734,,,,
31,0.9839153,,0.000559931,0.008309814,0.007214962,,0.008309814,,,,
32,0.001508174,,4.59E-05,0.001439459,0.9970066,,0.9970066,,,,
33,0.001689602,,9.20E-05,0.003989834,0.9942286,,0.9942286,,,,
34,0.9740216,,0.000727244,0.009733822,0.0155174,,0.0155174,,,,
35,0.005843967,,4.41E-05,0.001141802,0.99297005,,0.99297005,,,,
36,0.9891583,,0.000592315,0.006430626,0.00381888,,0.006430626,,,,
37,0.9788016,,0.000794783,0.007027143,0.013376323,,0.013376323,,,,
38,0.92867184,,0.018658185,0.02651905,0.026150923,,0.02651905,,,,
39,0.9877757,,0.001080742,0.006055688,0.005087873,,0.006055688,,,,
40,0.91574043,,0.002565808,0.030226339,0.051467407,,0.051467407,,,,
41,0.000119509,,0.99882156,0.000901156,0.000157689,,0.99882156,,,,
42,0.010061384,,0.016101431,0.6888589,0.28497824,,0.6888589,,,,
43,0.002011561,,4.72E-05,0.001522673,0.9964186,,0.9964186,,,,
44,0.98850155,,0.000140837,0.006564528,0.004793068,,0.006564528,,,,
45,0.000426399,,0.99650216,0.002714661,0.00035688,,0.99650216,,,,
46,0.97389936,,0.000275371,0.009794124,0.016031187,,0.016031187,,,,
47,0.51892895,,0.003369375,0.19713315,0.2805685,,0.2805685,,,,
48,0.9839081,,0.000416459,0.007754345,0.007920968,,0.007920968,,,,
49,0.9882357,,0.000276223,0.006291131,0.005196907,,0.006291131,,,,
50,0.002773159,,4.97E-05,0.00207489,0.9951023,,0.9951023,,,,
51,0.9179624,,0.000549113,0.01218742,0.06930116,,0.06930116,,,,
52,0.000369575,,0.99862945,0.000822052,0.000178988,,0.99862945,,,,
53,0.98276156,,0.000225731,0.007374659,0.009638019,,0.009638019,,,,
54,0.77915806,,0.000376558,0.022608701,0.19785671,,0.19785671,,,,
55,0.88007396,,0.002009962,0.098317385,0.019598689,,0.098317385,,,,
56,0.66290104,,0.052001745,0.25611112,0.028986154,,0.25611112,,,,
57,0.99299204,,0.001303696,0.003413786,0.002290536,,0.003413786,,,,
58,0.8933728,,0.001659149,0.039562408,0.06540563,,0.06540563,,,,
59,0.000802262,,0.0983307,0.85978115,0.041085865,,0.85978115,,,,
60,0.9800684,,0.000346193,0.008542248,0.011043264,,0.011043264,,,,
61,0.9805878,,0.004679713,0.008915411,0.005817092,,0.008915411,,,,
62,0.9030482,,0.001230275,0.037810676,0.05791082,,0.05791082,,,,
63,0.98808986,,0.004638175,0.005036,0.002235983,,0.005036,,,,
64,0.002270177,,5.94E-05,0.001318915,0.9963515,,0.9963515,,,,
65,0.9722367,,0.002795343,0.010479407,0.014488535,,0.014488535,,,,
66,0.004763807,,4.56E-05,0.001496575,0.993694,,0.993694,,,,
67,0.9696935,,0.000835812,0.017827999,0.011642687,,0.017827999,,,,
68,0.9831845,,0.000424267,0.007800437,0.008590717,,0.008590717,,,,
69,0.9869927,,0.000448745,0.006254042,0.006304517,,0.006304517,,,,
70,0.00389833,,4.92E-05,0.001724283,0.9943282,,0.9943282,,,,
71,0.000255751,,0.99866486,0.000895369,0.00018401,,0.99866486,,,,
72,0.006269356,,7.26E-05,0.00209795,0.99156004,,0.99156004,,,,
73,0.001657257,,0.00067473,0.047456935,0.9502111,,0.9502111,,,,
74,0.013185068,,0.04096243,0.82755286,0.11829962,,0.82755286,,,,
75,0.9808961,,0.005507639,0.007181216,0.006415051,,0.007181216,,,,
76,0.9719874,,0.017395897,0.006533015,0.00408366,,0.017395897,,,,
77,0.001911586,,5.60E-05,0.001214171,0.9968182,,0.9968182,,,,
78,0.001966624,,0.001154287,0.09065768,0.9062214,,0.9062214,,,,
79,0.002863437,,4.96E-05,0.000890584,0.9961965,,0.9961965,,,,
80,0.835053,,0.001942836,0.045808498,0.11719566,,0.11719566,,,,
81,0.9714093,,0.000566822,0.014276885,0.013746972,,0.014276885,,,,
82,0.022834321,,7.75E-05,0.001556131,0.97553205,,0.97553205,,,,
83,0.002419807,,9.56E-05,0.001677242,0.9958074,,0.9958074,,,,
84,0.43597734,,0.32149723,0.22028017,0.022245297,,0.32149723,,,,
85,0.007368086,,5.00E-05,0.000812335,0.99176955,,0.99176955,,,,
86,0.9159783,,0.008126754,0.04732919,0.028565751,,0.04732919,,,,
87,0.98287404,,0.000965481,0.009572892,0.006587574,,0.009572892,,,,
88,0.9198364,,0.000297455,0.013526484,0.06633961,,0.06633961,,,,
89,0.002612323,,5.19E-05,0.00151176,0.995824,,0.995824,,,,
90,0.00164519,,4.22E-05,0.000905936,0.99740666,,0.99740666,,,,
91,0.17241539,,0.000478874,0.017781315,0.8093245,,0.8093245,,,,
92,0.9835739,,0.000404686,0.007878066,0.008143359,,0.008143359,,,,
93,0.89587635,,0.004772729,0.03034173,0.06900921,,0.06900921,,,,
94,0.9835851,,0.000301294,0.006490971,0.009622542,,0.009622542,,,,
95,0.000382674,,0.99850225,0.000937953,0.00017709,,0.99850225,,,,
96,0.92845774,,0.001021285,0.028756592,0.041764453,,0.041764453,,,,
97,0.17703754,,0.20394637,0.6031448,0.015871283,,0.6031448,,,,
98,0.9857961,,0.004767469,0.005829146,0.003607309,,0.005829146,,,,
99,0.9239123,,0.002089166,0.018006375,0.055992234,,0.055992234,,,,
100,0.9803632,,0.000906649,0.011548417,0.007181788,,0.011548417,,,,
