experiment_name,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1,f1_score,accuracy
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_128,0.926387885445272,0.9260525753366103,0.9254000105726219,0.9254867634845386,0.9152907281299109,0.9193234107138112,0.9193234107138112,0.9260525753366103
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_128,0.9263742655953734,0.9247702500534302,0.924931099549219,0.9174697891529485,0.923978028054246,0.9201490114745559,0.9201490114745559,0.9247702500534302
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_128,0.9224496664547599,0.9219918786065399,0.9214111975218756,0.9195916700217106,0.9125282870612885,0.9150524608385725,0.9150524608385725,0.9219918786065399
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_128,0.9239301094171622,0.92306048300919,0.9224507668116846,0.9215582426397063,0.9135415575344856,0.9162568063565951,0.9162568063565951,0.92306048300919
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_128,0.9294212317439687,0.9292583885445608,0.9293250702167567,0.9233160512764688,0.9249752342704151,0.9241306775703881,0.9241306775703881,0.9292583885445608
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_128,0.9259063914931632,0.9260525753366103,0.9254694142597288,0.9247590114139358,0.9153560619288749,0.9193969049680767,0.9193969049680767,0.9260525753366103
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_128,0.9238664810970766,0.9207095533233597,0.9213861970444117,0.9106393273259602,0.9222302543507362,0.9154721555072435,0.9154721555072435,0.9207095533233597
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_128,0.9210273829903914,0.9196409489207096,0.9185915378100694,0.9200907699388802,0.9063087131133228,0.9109592112659,0.9109592112659,0.9196409489207096
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_128,0.9293885191058289,0.9269074588587305,0.9275492701513197,0.9182039937813994,0.9272368022815901,0.9219843904786936,0.9219843904786936,0.9269074588587305
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_128,0.9201864405906557,0.9168625774738192,0.9176545994580542,0.9066097641476024,0.9178498341190849,0.9112532565078887,0.9112532565078887,0.9168625774738192
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_256,0.9234821816131594,0.92327420388972,0.9227484339142399,0.9198982215731575,0.9140138525114953,0.9161752997497553,0.9161752997497553,0.92327420388972
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_256,0.9260658411443247,0.9262662962171404,0.9258385666761852,0.9246892597382135,0.9167992549909784,0.9203250714557322,0.9203250714557322,0.9262662962171404
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_256,0.9201106414990963,0.9187860653985894,0.91903035250128,0.9100756766475543,0.9169405738897619,0.9131235498814295,0.9131235498814295,0.9187860653985894
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_256,0.9259076231719227,0.9237016456507801,0.9240951035969814,0.91481284369676,0.9251384960130377,0.9192669188531352,0.9192669188531352,0.9237016456507801
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_256,0.9234567622008768,0.9219918786065399,0.9212950974960303,0.9211397824059727,0.9115536348291716,0.914581272441655,0.914581272441655,0.9219918786065399
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_256,0.9264215126881185,0.9245565291729002,0.925069322615239,0.9158595446848058,0.9240205750538385,0.919443547891361,0.919443547891361,0.9245565291729002
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_256,0.9260354652288013,0.9243428082923701,0.9248282158075926,0.9158473828184214,0.9233744834410104,0.9191786577949156,0.9191786577949156,0.9243428082923701
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_256,0.9279287043727127,0.9271211797392606,0.926993741380762,0.9217211898968932,0.9226873581281648,0.9216703489899905,0.9216703489899905,0.9271211797392606
fusion_model_new_epoch_3_batch_size_128_learningRate_0.001_filter_64_window_size_6_dropout_0.6_balanced_True_full_connected_256,0.9191111805169428,0.9179311818764694,0.9176628451526704,0.9141265866474417,0.9113925557301671,0.9118093142682729,0.9118093142682729,0.9179311818764694
