model_name,aspect,p,r,f1,,m-p,m-r,m-f1,,acc
,,0.858224586,0.881750798,0.863576763,,0.692313818,0.58447001,0.605317192,,0.881750798
epoch_3_batchSize_80_filter_128_windowSize_6,space_label,0.877954304,0.894171006,0.874528863,,0.796401319,0.570477749,0.581782508,,0.894171006
epoch_3_batchSize_80_filter_128_windowSize_6,power_label,0.855717122,0.88509995,0.854769788,,0.740342004,0.563655447,0.590410648,,0.88509995
epoch_3_batchSize_80_filter_128_windowSize_6,manipulation_label,0.892326432,0.916764656,0.89682784,,0.75278916,0.542927883,0.557314558,,0.916764656
epoch_3_batchSize_80_filter_128_windowSize_6,consumption_label,0.854379816,0.883084159,0.863374108,,0.691101335,0.588927579,0.61539561,,0.883084159
epoch_3_batchSize_80_filter_128_windowSize_6,comfort_label,0.780326394,0.806400134,0.785074585,,0.711696532,0.603471994,0.619558869,,0.806400134
epoch_3_batchSize_80_filter_128_windowSize_6,outside_label,0.930414459,0.950613136,0.938586312,,0.590863906,0.525623404,0.535710005,,0.950613136
epoch_3_batchSize_80_filter_128_windowSize_6,inside_label,0.805916339,0.818242903,0.809076871,,0.683331486,0.611428849,0.626078993,,0.818242903
epoch_3_batchSize_80_filter_128_windowSize_6,value_label,0.884705326,0.903662019,0.889605031,,0.731577909,0.58937933,0.621770664,,0.903662019
,,0.860217524,0.882254746,0.863980425,,0.712262956,0.574486529,0.593502732,,0.882254746
epoch_3_batchSize_80_filter_128_windowSize_7,space_label,0.858498162,0.893415085,0.874415345,,0.588809136,0.570484258,0.57681972,,0.893415085
epoch_3_batchSize_80_filter_128_windowSize_7,power_label,0.848497344,0.883504116,0.847323685,,0.699381533,0.535861064,0.545627273,,0.883504116
epoch_3_batchSize_80_filter_128_windowSize_7,manipulation_label,0.882471743,0.917100622,0.88690875,,0.743762019,0.51627452,0.523011205,,0.917100622
epoch_3_batchSize_80_filter_128_windowSize_7,consumption_label,0.855245058,0.883840081,0.862673247,,0.710323597,0.578025768,0.608214562,,0.883840081
epoch_3_batchSize_80_filter_128_windowSize_7,comfort_label,0.788507054,0.802872501,0.785522359,,0.746952724,0.606143815,0.616573627,,0.802872501
epoch_3_batchSize_80_filter_128_windowSize_7,outside_label,0.93131636,0.951285066,0.939566227,,0.554127297,0.525924875,0.529690924,,0.951285066
epoch_3_batchSize_80_filter_128_windowSize_7,inside_label,0.798438139,0.823534352,0.804834692,,0.696772726,0.591628434,0.610252661,,0.823534352
epoch_3_batchSize_80_filter_128_windowSize_7,value_label,0.876785103,0.904837897,0.880442568,,0.749713668,0.551191707,0.579481753,,0.904837897
,,0.85496987,0.882548715,0.860210859,,0.686230338,0.559441805,0.573708965,,0.882548715
epoch_3_batchSize_80_filter_128_windowSize_7,space_label,0.866165832,0.893667059,0.875083198,,0.689443849,0.59783911,0.62456904,,0.893667059
epoch_3_batchSize_80_filter_128_windowSize_7,power_label,0.856108608,0.88509995,0.860505353,,0.717561827,0.569737101,0.59402966,,0.88509995
epoch_3_batchSize_80_filter_128_windowSize_7,manipulation_label,0.891057947,0.917268604,0.897526293,,0.712162559,0.548091695,0.567112316,,0.917268604
epoch_3_batchSize_80_filter_128_windowSize_7,consumption_label,0.854841377,0.887367714,0.862723677,,0.701387969,0.591741545,0.620213013,,0.887367714
epoch_3_batchSize_80_filter_128_windowSize_7,comfort_label,0.783098883,0.805728204,0.784912207,,0.728937522,0.602063464,0.61663898,,0.805728204
epoch_3_batchSize_80_filter_128_windowSize_7,outside_label,0.932795941,0.952040988,0.939652141,,0.666139148,0.542409324,0.56613867,,0.952040988
epoch_3_batchSize_80_filter_128_windowSize_7,inside_label,0.801135611,0.819250798,0.806501948,,0.692743023,0.606692203,0.626743134,,0.819250798
epoch_3_batchSize_80_filter_128_windowSize_7,value_label,0.878450524,0.901982194,0.885426794,,0.710121803,0.577306885,0.608710458,,0.901982194
,,0.85795684,0.882800689,0.864041451,,0.702312212,0.579485166,0.603019409,,0.882800689
