model_name,aspect,p,r,f1,,m-p,m-r,m-f1,,acc
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,outside_label,0.936276942,0.956996472,0.940843429,,0.720766608,0.526934056,0.542234504,,0.956996472
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,inside_label,0.797011933,0.818326894,0.805534253,,0.658166546,0.606098504,0.622148527,,0.818326894
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,value_label,0.888304067,0.904417941,0.894896867,,0.684884291,0.627567531,0.650508574,,0.904417941
,,0.863216868,0.878758609,0.868830384,,0.683577977,0.604829903,0.622922713,,0.878758609
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,space_label,0.884954337,0.893835041,0.887193416,,0.704135495,0.623387991,0.640224079,,0.893835041
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,power_label,0.861477439,0.885351923,0.868993722,,0.694352513,0.610837712,0.638106677,,0.885351923
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,manipulation_label,0.897765969,0.91105325,0.902878924,,0.668584855,0.579687125,0.597170869,,0.91105325
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,consumption_label,0.846029085,0.8711574,0.854441297,,0.683733105,0.584408884,0.60750174,,0.8711574
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,comfort_label,0.787476201,0.798672938,0.791164321,,0.676424683,0.625031686,0.637232182,,0.798672938
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,outside_label,0.936055251,0.956576516,0.940375282,,0.71052783,0.521023323,0.533384887,,0.956576516
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,inside_label,0.795980869,0.816983034,0.803138374,,0.667472355,0.597515583,0.612189962,,0.816983034
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,value_label,0.886478989,0.904165967,0.893642162,,0.676008524,0.609093097,0.634231576,,0.904165967
