"('种类', '不多')","('味道', '一般')"
"('味道', '差劲')","('口感', '差劲')"

"('上菜', '慢')","('米饭一般', '')"




"('服务人员', '冷淡')"

"('味道', '味道不错')"

"('服务态度', '差')"

"('味道', '不正宗')"





"('油', '难吃')","('饭店一般', '')","('东西', '难吃')","('味儿一般', '')","('东西', '难吃')"

"('素质', '差')"
"('员工一般', '')","('服务态度', '服务态度一般')"



"('蒸蛋不错', '')"
"('服务态度', '差')"








"('服务态度', '服务态度一般')"
"('服务人员', '服务人员不错')"
"('蒜蓉一般', '')"


"('份量', '足')"
"('茄子', '咸')"
"('味道', '一般')"


"('味道', '味道不错')"





"('服务态度', '差')"





"('服务态度', '差')"

"('环境', '差')"



"('味道', '味道不错')"



"('服务态度', '差')"
"('东西', '难吃')"

"('服务态度', '差')"

"('菜', '难吃')"




"('服务人员', '冷淡')"


"('环境', '差')","('服务态度', '差')","('态度', '不好')","('服务人员', '服务人员一般')","('服务态度', '服务态度一般')"



"('量', '少')"


"('服务态度', '服务态度一般')"
"('肉', '多')"
"('服务人员', '冷淡')"












"('感觉', '一般')","('服务态度', '差')"



"('量', '少')"
"('口感不错', '')"
"('味道', '咸')"

"('态度', '不好')"





"('价格', '适中')"



"('环境', '环境一般')","('服务态度', '差')"






"('服务', '多')"
"('味道', '辣')"



"('服务人员', '冷淡')"
"('服务态度', '差')"




"('面包', '挺好')"


"('味道', '辣')","('炒饭一般', '')","('味道', '辣')"


"('炒肉一般', '')","('味道一般', '')"


"('服务态度', '差')"






"('味道', '一般')"

"('服务态度', '一般')"

"('味道', '一般')"
"('炒肉一般', '')","('味道一般', '')"




"('味道', '味道一般')"
"('小炒肉', '一般')"


"('服务态度', '差')"
"('服务态度', '一般')","('服务员', '牛逼')"

"('量', '少')","('东西', '难吃')"






"('味道', '味道不错')","('小店不错', '')"
"('性价比', '低')"

"('菜品', '咸')"




"('味道', '一般')"



"('小炒肉', '一般')"



"('味道', '一般')","('味道', '味道一般')","('态度', '差')","('环境', '差')","('店面', '差')"
"('实话', '难吃')","('湘菜一般', '')","('东西', '难吃')","('服务员', '不耐烦')","('东西', '难吃')"
"('味儿一般', '')","('面包', '一般')","('面包诱惑', '一般')"
"('服务态度', '差')","('环境', '差')","('环境', '一般')"
"('服务态度', '差')"
"('店面', '差')"









"('业务', '不熟')","('上菜慢', '')"
"('味道', '一般')"
"('味道', '味道不错')","('土豆', '不好吃')","('土豆泥', '不好吃')","('豆腐一般', '')"
"('管理一般', '')","('感觉', '一般')"
"('环境', '差')","('态度', '一般')"
"('调料', '咸')","('肥牛一般', '')"
"('服务态度', '服务态度一般')"











"('味道', '一般')","('味道', '一般')"

"('味道', '味道一般')"

"('服务态度', '服务态度一般')"













"('服务人员', '服务人员不错')","('菜品', '咸')"






"('炒肉一般', '')"
"('量', '不多')","('环境', '差')"
"('量', '不多')","('环境', '差')"

"('服务态度', '差')"



"('服务态度', '一般')"
"('服务态度', '服务态度一般')"
"('肥肉一般', '')","('口感', '差劲')"
"('味道', '一般')","('味道', '差劲')"





"('味道', '差劲')","('服务态度', '服务态度一般')","('素质', '低')"
"('味道', '一般')"
"('服务态度', '差')"





"('服务态度', '差')"


"('味道', '味道一般')","('蒸蛋', '不好')"



"('服务态度', '服务态度一般')"






"('服务一般', '')"








"('甜品不错', '')"
"('服务人员', '冷淡')","('服务员服务', '不好')"




"('味道', '一般')"
"('服务态度', '差')"
"('甜品一般', '')","('东西', '不实在')"





"('服务人员', '冷淡')"



"('活动', '给力')"
"('小炒肉', '一般')"
"('味道', '一般')"

"('服务态度', '服务态度一般')"
"('味道', '一般')"

"('份量', '份量一般')"



"('东西', '难吃')"


"('性价比', '低')"

"('服务态度', '差')"

"('菜品', '不合口味')"

"('业务', '不熟')"



"('服务人员', '服务人员一般')"



"('味道', '一般')","('肚子', '饱')"



"('服务态度', '差')"

"('服务态度', '差')"





"('味道', '一般')"























"('店面', '不行')"


"('量足', '')"

"('味道', '味道一般')","('量', '少')"
"('服务态度', '服务态度一般')"

"('味道', '味道一般')"
"('小菜不错', '')","('小菜不错', '')"


"('味道', '一般')","('量', '少')"
"('东西', '难吃')"

"('味道', '味道一般')"






"('服务态度', '差')"





"('服务态度', '一般')"






"('口味一般', '')","('味道', '味道一般')","('口感', '差劲')"
"('价位', '不低')","('量', '不大')"



"('味道', '咸')","('小菜一般', '')"



"('味道', '差劲')"

"('消费', '不低')"
