后来服务生就一遍遍的问加不加菜了加不加菜了,考虑到服务员不容易我确实没有翻脸,服务生差的要命,我不知道这条评论能不能让老板看到,然后吃到十点20多的时候服务员一直催说他们已经下班了
环境差,团购量少,杯子也不干净,性价比很低,单点很贵,明显被点评骗了,所以希望别有人跟我一样被骗了,吃的不开心决定下次不再去了,看起来很脏
只是肉比以前薄了不少啊
没有以前好了服务不好菜品也差了太多买的4-6的套餐299还4-6个人量三个人刚刚够菜量太小了不说凉菜就占了一半没有煮食肉没有正常单点的多根本不合适我们四个人又单点了不到200块钱的东西少就少吧我给你传图看看啊玉米饼现在做的什么样啊拿个铁板锅给我上的玉米饼好像别人吃剩下的以后不会在去了大家也注意点吧服务不好菜量小的可以花钱单点上的好像别人剩下的要啥啥没有四个人花了不到500块钱我去哪不能吃饭分享给要去的朋友
两人套餐分量小,感觉一般般,吃不饱,不知道是本身问题还是服务员帮忙烤老了,我们吃的速度太慢了,人不是特别多
服务也不好,我要是老板的话,真的太差劲了??,菜品不好吃
肉烤完了发渣,你拿那些臭虾烂肉来坑消费者只会砸了你十多年建立起来的招牌,上完菜真的让人震惊了,土豆片是凉的烤好之后上的,还有那可怜的牛肋条
看起来店家压根没想改进,上菜还这样说不过去了,一盘菜压着另一盘菜,看过别人的评价
不太够吃肉有点少,点的套餐,对我俩来说
就是西瓜汁48有点贵了,不是很好喝
量太小简直是少的可怜,两个人都不够吃
垃圾服务,这种人做什么服务行业啊,垃圾,我把炉子撤了啊,之后就把炭火撤了
点完菜以后过了10分钟左右本人跟服务员说加个可乐,吃个饭到谁家都行,属实两个豆腐都好难吃,服务员都在聊天
没人服务,大过年的我不想差评,服务态度差到家,味道差也不说啥了
性价比不高,数量少,尤其是大虾质量比较差,不推荐
量太小,性价比很一般,虾不知道冻了多久
之后又点的别的吃的,味道一般吧就是4个人根本都没吃饱,菜量太小了
煎地瓜片,LA调味牛排
菜量太少,4-6人量根部不够吃
不能换点别的,不会再来了,这是第n次到这家店,感觉肉越来越少了,肉的品质也变差了
服务员素质特别差,反正就是特别难吃,难吃,别去,辣鸡
肉都半生半熟的吃,吃饭还得穿棉袄,再也不回去了,半天烤不熟,到最后是冻得吃不下去了,最可恨的火还慢
还凑合吧嗯,就是有点贵了
但是有点贵
但是晚上来行,中午位置可能比较紧
牛肉太贵,100多几块还糊了,饮料太甜
就是价位太高
就一小碗汤,我也是醉了这店这么搞下去一定会倒闭的
服务推荐太差了,不推荐大众点评
大肠也给烤糊了,联通无信号,牛排给烤糊了,换了之后,换了一份
味道一般吧,性价比感觉不高,价格偏贵
不知道是不是团购的缘故,味道也一般,肉质跟图片完全不一样,肉质不是很嫩,不值这个价格
今天服务员好像很忙不愿搭理,问下说分完了无语被敷衍的感觉,说好上南瓜粥到吃完也没上
量有点小不够吃味道还可以吧
服务员态度一开始很热情,点完菜就搭理你了
烤一半走了,我就问了一下为什么包间不能用,服务员告诉我没有为什么,其次是服务员给我烤肉,你家吃的东西掉地上还捡起来吃吗,我现在知道为什么他家好评那么多了,而且拿肉的时候掉桌子上了,服务态度差
一点都不好吃,以后不来了,讨厌
蔬菜沙拉味道有点咸,麻酱放的不是特别多,不是特别好喝,量也很少
还有豆腐有点问题,后来给换了,就是套餐的量太少了
只不过服务态度不怎么样
人均有点高
这次对服务不太满意,大圆脸
现在不知道是换人了还是怎么了,总之这种服务简直差极了,服务简直垃圾,服务生烤的不行,让换了服务员说不影响
价格相对高了点
伤心伤心,服务跟不上,人太多了
服务员主动询问是否帮顾客烤肉
再也不去了,性价比超低,味道不是很好
一碗大酱汤真的是好小一碗,至少东西不唬人吧追评经理看到评价就过来询问了问题,我觉得还是把价格抬高一点,我承认价格不高但是这个也太唬人了三片五花肉
一下自己买的东西也可以不了什么钱呀不,不能够接受任何地方了
左下角豆腐汤,不会去第二次,右下角一盘豆腐,平均每盘不超过十片,有一盘就三片肉,而且味道很一般
油烟味儿大,店员烤肉太快了,来不及吃就凉了
价格贵
4筷子还没拿上来,筷子不拿,拿的碳比人家烤完的还少
环境差,日式烤肉汁吃完了还没有上,生菜也没洗干净,这样店还上美团,大家千万别上当,198套餐2个人都没吃饱
室内简直太冷了,环境冻死人啊
那个肉简直无话比喻的难吃,太难吃了真的很难吃
就是价位贵了一点,但真的是贵有贵的道理
还有就是他家量真心太少了,就是晚上九点半我们酒没喝完就催买单了不开心,开始先点了个团购券197那个
但是不怎么好吃,建议别去
蒜片也少到可怜,冷面没有一点味道,生菜就几片还牙碜,两碟小菜只有一口,酱料也很少,从来没吃过这么难吃的
我只想说压根就把菜减一半的量了,服务员竟然说那个辣的蘸料不辣,辣不辣吃不出来吗,四个大人压根都吃不饱,我想说那下边菜怎么吃,孩子都没有不辣的蘸料
菜量少
卫生极差,看着就没有食欲,不知道为什么那么火
还不太好吃,量太少,没有牛肉的味道
团购的肉太难吃了,味道和之前差太多了
价格稍微偏贵
人均100还有人说没吃饱,价格稍贵
搭配的太少,没有主食,我忍了,没吃饱呀
菜不好吃,口味太差,价格有点贵
我不喜欢吃饭的时候旁边站个人一直帮忙虽然好意但是吧建议问问客人需要自己烤吗,因为有时候确实影响跟客户沟通因为吃饭几个人说好旁边站人好多话不方便提
