model,w-precision,w-recall,w-f1,precision,recall,f1,acc
cnn_epoch_2_language_256_cnode_64,0.877919021,0.878694818,0.875691841,0.875105267,0.839612358,0.853908711,0.878694818
cnn_epoch_2_language_256_cnode_64,0.864041911,0.864491363,0.863738225,0.862233405,0.85426413,0.857677262,0.864491363
cnn_epoch_2_language_256_cnode_64,0.890778167,0.892130518,0.891111979,0.875427539,0.861505265,0.867988968,0.892130518
bayes_0_,0.729774228,0.62303263,0.635209978,0.650280673,0.672616145,0.617072331,0.62303263
bayes_0_,0.786540865,0.712859885,0.732776191,0.662760378,0.717042825,0.665859327,0.712859885
bayes_0_,0.786647534,0.758541267,0.768802066,0.680071608,0.713760914,0.690986385,0.758541267
bayes_0_,0.681314486,0.638771593,0.648610353,0.629672476,0.644921587,0.624724185,0.638771593
bayes_0_,0.653503189,0.674856046,0.662688476,0.548311401,0.54156165,0.542804896,0.674856046
bayes_0_,0.609291582,0.607677543,0.597961109,0.609644653,0.599122526,0.593710169,0.607677543
bayes_0_,0.792977024,0.630326296,0.64490454,0.680455682,0.715240669,0.624734158,0.630326296
bayes_0_,0.760357584,0.484836852,0.446560127,0.663561675,0.609473772,0.473454876,0.484836852
bayes_0_,0.786480838,0.592706334,0.599613628,0.677444714,0.691932736,0.591840216,0.592706334
bayes_0_,0.77623448,0.584101382,0.592148368,0.666386657,0.681968494,0.582946998,0.584101382
ada_0_,0.822304276,0.803454894,0.808380658,0.774257785,0.803389657,0.783269418,0.803454894
ada_0_,0.861300504,0.85681382,0.85870259,0.797617055,0.813754034,0.805084632,0.85681382
ada_0_,0.839531176,0.846833013,0.841223277,0.792538159,0.752507879,0.769017225,0.846833013
ada_0_,0.804831943,0.803838772,0.80429946,0.779798176,0.782439153,0.781075336,0.803838772
ada_0_,0.798663954,0.796928983,0.797759339,0.733806634,0.737662515,0.735678024,0.796928983
ada_0_,0.760159475,0.758925144,0.759112561,0.758696196,0.759502372,0.758668201,0.758925144
ada_0_,0.834800947,0.831861804,0.833137092,0.790443101,0.799392953,0.794643551,0.831861804
ada_0_,0.809780508,0.778502879,0.784657781,0.76080775,0.791932294,0.76538378,0.778502879
ada_0_,0.83761666,0.807677543,0.814401354,0.776315465,0.818372456,0.786866966,0.807677543
ada_0_,0.834119246,0.793010753,0.801342932,0.765056977,0.812349687,0.77334681,0.793010753
SVM_0_,0.822304276,0.803454894,0.808380658,0.774257785,0.803389657,0.783269418,0.803454894
SVM_0_,0.861300504,0.85681382,0.85870259,0.797617055,0.813754034,0.805084632,0.85681382
SVM_0_,0.839531176,0.846833013,0.841223277,0.792538159,0.752507879,0.769017225,0.846833013
SVM_0_,0.804831943,0.803838772,0.80429946,0.779798176,0.782439153,0.781075336,0.803838772
SVM_0_,0.798663954,0.796928983,0.797759339,0.733806634,0.737662515,0.735678024,0.796928983
SVM_0_,0.760159475,0.758925144,0.759112561,0.758696196,0.759502372,0.758668201,0.758925144
SVM_0_,0.834800947,0.831861804,0.833137092,0.790443101,0.799392953,0.794643551,0.831861804
SVM_0_,0.809780508,0.778502879,0.784657781,0.76080775,0.791932294,0.76538378,0.778502879
SVM_0_,0.83761666,0.807677543,0.814401354,0.776315465,0.818372456,0.786866966,0.807677543
SVM_0_,0.834119246,0.793010753,0.801342932,0.765056977,0.812349687,0.77334681,0.793010753
randomForest_0_,0.811781985,0.816122841,0.812668004,0.789652571,0.768638049,0.777442916,0.816122841
randomForest_0_,0.832147343,0.838003839,0.818062868,0.818101851,0.690238014,0.72241497,0.838003839
randomForest_0_,0.823825354,0.832245681,0.810923391,0.803665425,0.678375362,0.708823824,0.832245681
randomForest_0_,0.778101042,0.780038388,0.765301474,0.775431742,0.709300189,0.724692035,0.780038388
randomForest_0_,0.764934703,0.778886756,0.73509543,0.74496504,0.600663291,0.609737828,0.778886756
randomForest_0_,0.727773938,0.663723608,0.628541308,0.734276285,0.646915861,0.62139794,0.663723608
randomForest_0_,0.802738904,0.811132438,0.800898155,0.778670447,0.723776035,0.742204547,0.811132438
randomForest_0_,0.778939529,0.779270633,0.779102065,0.748974583,0.748215184,0.748591162,0.779270633
randomForest_0_,0.821883563,0.823800384,0.822711555,0.788586522,0.781539099,0.78488353,0.823800384
randomForest_0_,0.809833801,0.80875576,0.809269445,0.767790225,0.770683021,0.769202019,0.80875576
decisionTree_0_,0.764592782,0.758541267,0.761054073,0.719928984,0.729285815,0.723962047,0.758541267
decisionTree_0_,0.781194729,0.786948177,0.783758113,0.699531003,0.687922272,0.693199361,0.786948177
decisionTree_0_,0.782575568,0.787715931,0.784904623,0.698715928,0.688457112,0.693177517,0.787715931
decisionTree_0_,0.74125761,0.742802303,0.7419752,0.711171191,0.708471975,0.709755771,0.742802303
decisionTree_0_,0.744736102,0.747792706,0.746192459,0.667037229,0.662850463,0.664835895,0.747792706
decisionTree_0_,0.6718019,0.670633397,0.667258711,0.672235663,0.665278422,0.664753262,0.670633397
decisionTree_0_,0.771023253,0.770441459,0.770728023,0.715413438,0.716491762,0.715946554,0.770441459
decisionTree_0_,0.731364652,0.725527831,0.727992491,0.6907314,0.697712418,0.69367684,0.725527831
decisionTree_0_,0.731272575,0.717466411,0.722916494,0.668267326,0.681805287,0.673172934,0.717466411
decisionTree_0_,0.76596994,0.756528418,0.760329176,0.708691372,0.722162097,0.714213307,0.756528418
logicRegression_0_,0.789723469,0.748944338,0.757539942,0.728616559,0.762857651,0.731779177,0.748944338
logicRegression_0_,0.838238509,0.844145873,0.840177854,0.786881361,0.759044465,0.771183925,0.844145873
logicRegression_0_,0.806635869,0.80537428,0.805988943,0.726180931,0.729056446,0.727591448,0.80537428
logicRegression_0_,0.779810988,0.777351248,0.77842792,0.750533243,0.755427677,0.752797128,0.777351248
logicRegression_0_,0.752569948,0.770825336,0.756330492,0.694271964,0.650307586,0.663752872,0.770825336
logicRegression_0_,0.707582865,0.699424184,0.69284157,0.709498721,0.691662074,0.689750054,0.699424184
logicRegression_0_,0.798810275,0.801535509,0.800011919,0.754155375,0.746467179,0.750081696,0.801535509
logicRegression_0_,0.794044433,0.761228407,0.767937831,0.743878042,0.773348416,0.74742422,0.761228407
logicRegression_0_,0.808049217,0.793090211,0.797919004,0.753985963,0.778954714,0.763015581,0.793090211
logicRegression_0_,0.796689738,0.784178187,0.788611186,0.741598555,0.7623557,0.749572196,0.784178187
