experiment_name,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1,f1_score,accuracy
namelocation,0.562770563,0.285714286,0.285714286,0.424242424,0.424242424,0.285714286,0.285714286,0.285714286
nameservice,0.432900433,0.5,0.430672269,0.28030303,0.308333333,0.272058824,0.272058824,0.5
nameprice,0.326530612,0.5,0.393939394,0.25,0.3875,0.303030303,0.303030303,0.5
nameenvironment,0.432900433,0.5,0.430672269,0.28030303,0.308333333,0.272058824,0.272058824,0.5
namedish,0.734693878,0.857142857,0.791208791,0.285714286,0.333333333,0.307692308,0.307692308,0.857142857
name_location,0.6173469387755102,0.7857142857142857,0.6914285714285714,0.39285714285714285,0.5,0.44,0.44,0.7857142857142857
name_service,0.04591836734693877,0.21428571428571427,0.07563025210084033,0.07142857142857142,0.3333333333333333,0.11764705882352942,0.11764705882352942,0.21428571428571427
name_price,0.08163265306122448,0.2857142857142857,0.126984126984127,0.07142857142857142,0.25,0.11111111111111112,0.11111111111111112,0.2857142857142857
name_environment,0.04591836734693877,0.21428571428571427,0.07563025210084033,0.07142857142857142,0.3333333333333333,0.11764705882352942,0.11764705882352942,0.21428571428571427
name_dish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
name_location,0.32653061224489793,0.5714285714285714,0.4155844155844156,0.19047619047619047,0.3333333333333333,0.24242424242424243,0.24242424242424243,0.5714285714285714
name_service,0.18367346938775508,0.42857142857142855,0.2571428571428571,0.14285714285714285,0.3333333333333333,0.19999999999999998,0.19999999999999998,0.42857142857142855
name_price,0.02040816326530612,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.25,0.0625,0.0625,0.14285714285714285
name_environment,0.12755102040816327,0.35714285714285715,0.18796992481203006,0.08928571428571429,0.25,0.13157894736842105,0.13157894736842105,0.35714285714285715
name_dish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
name_location,0.5,0.5,0.5,0.2333333333333333,0.2333333333333333,0.2333333333333333,0.2333333333333333,0.5
name_service,0.4404761904761905,0.5714285714285714,0.48571428571428577,0.27083333333333337,0.3020833333333333,0.275,0.275,0.5714285714285714
name_price,0.08163265306122448,0.2857142857142857,0.126984126984127,0.07142857142857142,0.25,0.11111111111111112,0.11111111111111112,0.2857142857142857
name_environment,0.18367346938775508,0.42857142857142855,0.2571428571428571,0.10714285714285714,0.25,0.15,0.15,0.42857142857142855
name_location,0.18367346938775508,0.42857142857142855,0.2571428571428571,0.10714285714285714,0.25,0.15,0.15,0.42857142857142855
name_service,0.41326530612244905,0.6428571428571429,0.5031055900621119,0.2142857142857143,0.3333333333333333,0.2608695652173913,0.2608695652173913,0.6428571428571429
name_price,0.12755102040816327,0.35714285714285715,0.18796992481203006,0.08928571428571429,0.25,0.13157894736842105,0.13157894736842105,0.35714285714285715
name_environment,0.5102040816326531,0.7142857142857143,0.5952380952380951,0.17857142857142858,0.25,0.20833333333333331,0.20833333333333331,0.7142857142857143
name_dish,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.42857142857142855,0.5,0.4615384615384615,0.4615384615384615,0.8571428571428571
name_location,0.16666666666666666,0.21428571428571427,0.1875,0.08333333333333333,0.10714285714285714,0.09375,0.09375,0.21428571428571427
name_service,0.07142857142857142,0.21428571428571427,0.10714285714285714,0.08333333333333333,0.25,0.125,0.125,0.21428571428571427
name_price,0.2040816326530612,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.26666666666666666,0.2222222222222222,0.2222222222222222,0.2857142857142857
name_environment,0.5714285714285714,0.7142857142857143,0.6285714285714287,0.3666666666666667,0.45,0.4,0.4,0.7142857142857143
name_dish,0.3607142857142857,0.5,0.40952380952380946,0.2125,0.4375,0.2666666666666666,0.2666666666666666,0.5
name_location,0.41326530612244905,0.6428571428571429,0.5031055900621119,0.2142857142857143,0.3333333333333333,0.2608695652173913,0.2608695652173913,0.6428571428571429
name_service,0.5934065934065934,0.21428571428571427,0.16507936507936508,0.28846153846153844,0.28125,0.12222222222222223,0.12222222222222223,0.21428571428571427
name_price,0.24489795918367346,0.2857142857142857,0.2571428571428572,0.14285714285714285,0.19047619047619047,0.15714285714285714,0.15714285714285714,0.2857142857142857
name_environment,0.6666666666666666,0.7142857142857143,0.6476190476190476,0.41666666666666663,0.375,0.3666666666666667,0.3666666666666667,0.7142857142857143
name_dish,0.6043956043956044,0.7142857142857143,0.6547619047619048,0.19230769230769232,0.22727272727272727,0.20833333333333331,0.20833333333333331,0.7142857142857143
name_location,0.30864197530864196,0.5555555555555556,0.39682539682539686,0.1388888888888889,0.25,0.17857142857142858,0.17857142857142858,0.5555555555555556
name_service,0.055022100289589995,0.2345679012345679,0.0891358024691358,0.05864197530864197,0.25,0.095,0.095,0.2345679012345679
name_price,0.16598079561042522,0.4074074074074074,0.23586744639376214,0.10185185185185185,0.25,0.14473684210526314,0.14473684210526314,0.4074074074074074
name_environment,0.1867093430879439,0.43209876543209874,0.26074925500212853,0.10802469135802469,0.25,0.15086206896551724,0.15086206896551724,0.43209876543209874
name_dish,0.3511659807956104,0.5925925925925926,0.4409991386735573,0.14814814814814814,0.25,0.18604651162790697,0.18604651162790697,0.5925925925925926
name_location,0.5579124579124579,0.5925925925925926,0.5401488444966707,0.29772727272727273,0.289247311827957,0.27350176263219744,0.27350176263219744,0.5925925925925926
name_service,0.29507696997408933,0.5432098765432098,0.38241975308641973,0.13580246913580246,0.25,0.176,0.176,0.5432098765432098
name_price,0.15607376924249353,0.3950617283950617,0.22375177537419425,0.09876543209876543,0.25,0.1415929203539823,0.1415929203539823,0.3950617283950617
name_environment,0.19753086419753085,0.4444444444444444,0.2735042735042735,0.1111111111111111,0.25,0.15384615384615383,0.15384615384615383,0.4444444444444444
name_dish,0.46105776558451456,0.6790123456790124,0.54920116194626,0.1697530864197531,0.25,0.20220588235294118,0.20220588235294118,0.6790123456790124
name_location,0.25621094345374185,0.5061728395061729,0.34021453147136205,0.12654320987654322,0.25,0.1680327868852459,0.1680327868852459,0.5061728395061729
name_service,0.03429355281207133,0.18518518518518517,0.05787037037037037,0.046296296296296294,0.25,0.078125,0.078125,0.18518518518518517
name_price,0.29606009070294786,0.4074074074074074,0.33710620637615546,0.20902423469387754,0.29166666666666663,0.2393887945670628,0.2393887945670628,0.4074074074074074
name_environment,0.21399971399971401,0.25925925925925924,0.15326622959875866,0.1356177606177606,0.2190217391304348,0.11921474007457776,0.11921474007457776,0.25925925925925924
name_dish,0.42748971193415636,0.6049382716049383,0.5009645061728395,0.16333333333333333,0.23113207547169812,0.19140625,0.19140625,0.6049382716049383
name_location,0.22008840115835998,0.4691358024691358,0.2996161427533977,0.11728395061728394,0.25,0.1596638655462185,0.1596638655462185,0.4691358024691358
name_service,0.20865721688766956,0.4567901234567901,0.28646160284578365,0.11419753086419752,0.25,0.15677966101694915,0.15677966101694915,0.4567901234567901
name_price,0.09525986892242036,0.30864197530864196,0.14558583740973677,0.07716049382716049,0.25,0.11792452830188678,0.11792452830188678,0.30864197530864196
name_environment,0.22008840115835998,0.4691358024691358,0.2996161427533977,0.11728395061728394,0.25,0.1596638655462185,0.1596638655462185,0.4691358024691358
name_dish,0.4121322969059594,0.6419753086419753,0.5019957300659055,0.16049382716049382,0.25,0.19548872180451127,0.19548872180451127,0.6419753086419753
name_location,0.4805577138910472,0.4691358024691358,0.4394503685911045,0.24877622377622377,0.26881720430107525,0.23935473304945953,0.23935473304945953,0.4691358024691358
name_service,0.32251181222374636,0.5679012345679012,0.4113930203169049,0.1419753086419753,0.25,0.18110236220472442,0.18110236220472442,0.5679012345679012
name_price,0.13717421124828533,0.37037037037037035,0.2002002002002002,0.09259259259259259,0.25,0.13513513513513514,0.13513513513513514,0.37037037037037035
name_location,0.22008840115835998,0.4691358024691358,0.2996161427533977,0.11728395061728394,0.25,0.1596638655462185,0.1596638655462185,0.4691358024691358
name_service,0.06096631611034903,0.24691358024691357,0.0977875565334311,0.06172839506172839,0.25,0.099009900990099,0.099009900990099,0.24691358024691357
